name,type,location,creators_rec,notes,sheet_name,address,rating,user_ratings_total,google_maps_link,lat,lng
Hal's Office Coffee,Coffee,San Francisco Bay Area,Yes,Neighbor-ly spot in Albany: get their empanadas and an espresso and thank me later!,Dea - Bay Area,"1207 Solano Ave, Albany, CA 94706, United States",4.6,182,"https://www.google.com/maps/search/?api=1&query=1207%20Solano%20Ave,%20Albany,%20CA%2094706,%20United%20States&query_place_id=ChIJu1DJ0DN5hYARRSovhhQLnJs",37.89058,-122.2959295
Signal Coffee,Coffee,San Francisco Bay Area,,,Dea - Bay Area,"1536 Webster St, Alameda, CA 94501, United States",4.6,107,"https://www.google.com/maps/search/?api=1&query=1536%20Webster%20St,%20Alameda,%20CA%2094501,%20United%20States&query_place_id=ChIJOcpjXT-Bj4ARebbx8e144nw",37.77462,-122.2765429
Linea Coffee,Coffee,San Francisco Bay Area,,,Dea - Bay Area,"3417 18th St, San Francisco, CA 94110, United States",4.5,335,"https://www.google.com/maps/search/?api=1&query=3417%2018th%20St,%20San%20Francisco,%20CA%2094110,%20United%20States&query_place_id=ChIJFUuuvzx-j4ARAYJkkQoM5so",37.7616667,-122.42
Noe Cafe,Coffee,San Francisco Bay Area,,,Dea - Bay Area,"1299 Sanchez St, San Francisco, CA 94114, United States",4.7,277,"https://www.google.com/maps/search/?api=1&query=1299%20Sanchez%20St,%20San%20Francisco,%20CA%2094114,%20United%20States&query_place_id=ChIJGzD_VaV_j4ARXsfoRJmwqn8",37.7485047,-122.4292293
SPRO,Coffee,San Francisco Bay Area,Yes,Coffee truck alert!,Dea - Bay Area,"601 Mission Bay Boulevard North, San Francisco, CA 94158, United States",4.7,260,"https://www.google.com/maps/search/?api=1&query=601%20Mission%20Bay%20Boulevard%20North,%20San%20Francisco,%20CA%2094158,%20United%20States&query_place_id=ChIJUcfd3c9_j4ARYgUQAMZQBxs",37.7708621,-122.3913901
Thai Basil House,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"1175 Folsom St, San Francisco, CA 94103, United States",4.3,678,"https://www.google.com/maps/search/?api=1&query=1175%20Folsom%20St,%20San%20Francisco,%20CA%2094103,%20United%20States&query_place_id=ChIJlfC_eYKAhYARhcWC559q0jc",37.7754393,-122.4093067
Mediterrane,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"288 Noe St, San Francisco, CA 94114, United States",4.4,463,"https://www.google.com/maps/search/?api=1&query=288%20Noe%20St,%20San%20Francisco,%20CA%2094114,%20United%20States&query_place_id=ChIJ5zBG8hx-j4ARMlRDyaao1os",37.7644861,-122.4333556
Gather,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"Between Allston, 2200 Oxford St, Kittredge St, Berkeley, CA 94704, United States",4.4,1017,"https://www.google.com/maps/search/?api=1&query=Between%20Allston,%202200%20Oxford%20St,%20Kittredge%20St,%20Berkeley,%20CA%2094704,%20United%20States&query_place_id=ChIJqUoig51-hYARUnXjcqs8-sg",37.8695038,-122.2661179
Razan's Organic Kitchen,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"2119 Kittredge St, Berkeley, CA 94704, United States",4.4,249,"https://www.google.com/maps/search/?api=1&query=2119%20Kittredge%20St,%20Berkeley,%20CA%2094704,%20United%20States&query_place_id=ChIJaR4XC51-hYAR3_tecW5GI80",37.8687287,-122.2668487
Little Gem Belgian Waffles,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"2468 Telegraph Ave Suite A, Berkeley, CA 94704, United States",4.5,211,"https://www.google.com/maps/search/?api=1&query=2468%20Telegraph%20Ave%20Suite%20A,%20Berkeley,%20CA%2094704,%20United%20States&query_place_id=ChIJOaTDxi58hYARnB1yJXzRhdE",37.86562130000001,-122.2586825
**Tony's Pizza Napoletana,Restaurant,San Francisco Bay Area,Yes,The other pizza spot in my top 2. Incredibly popular but also fully deserves all its hype. Props for getting creative with the pizza: I loved the jam-flavored one I got.,Dea - Bay Area,"1570 Stockton St, San Francisco, CA 94133, United States",4.5,6623,"https://www.google.com/maps/search/?api=1&query=1570%20Stockton%20St,%20San%20Francisco,%20CA%2094133,%20United%20States&query_place_id=ChIJHXHcEvGAhYARQPuHNN78s78",37.8003901,-122.4090335
Ghirardelli Ice Cream,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"2 New Montgomery St, San Francisco, CA 94105, United States",4.5,1588,"https://www.google.com/maps/search/?api=1&query=2%20New%20Montgomery%20St,%20San%20Francisco,%20CA%2094105,%20United%20States&query_place_id=ChIJefo8O4iAhYARRfftIRv7rKs",37.7883917,-122.4021162
Artichoke's Basille Pizza,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"4799 Telegraph Ave, Oakland, CA 94609, United States",4.3,158,"https://www.google.com/maps/search/?api=1&query=4799%20Telegraph%20Ave,%20Oakland,%20CA%2094609,%20United%20States&query_place_id=ChIJi-WYmuF9hYARs0Ls5aQWtig",37.8349698,-122.2632324
**Gregoire,Restaurant,San Francisco Bay Area,Yes,The notorious potato puffs with truffle oil. Non-optional and highly craveable.,Dea - Bay Area,"2109 Cedar St, Berkeley, CA 94709, United States",4.5,826,"https://www.google.com/maps/search/?api=1&query=2109%20Cedar%20St,%20Berkeley,%20CA%2094709,%20United%20States&query_place_id=ChIJtd1mG6F-hYARojnUY51ID8Q",37.8785598,-122.268584
Casa Barotti,Restaurant,San Francisco Bay Area,Yes,Among the only Italian streetfood spots in the Bay. Choose a few small slices from their selection and enjoy.,Dea - Bay Area,"3204 College Ave, Berkeley, CA 94705, United States",4.8,119,"https://www.google.com/maps/search/?api=1&query=3204%20College%20Ave,%20Berkeley,%20CA%2094705,%20United%20States&query_place_id=ChIJ9yXzCC59hYAR44ho2cVTyl0",37.8510297,-122.2526819
Taco Sinaloa,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"2138 International Blvd, Oakland, CA 94606, United States",4.3,2029,"https://www.google.com/maps/search/?api=1&query=2138%20International%20Blvd,%20Oakland,%20CA%2094606,%20United%20States&query_place_id=ChIJIVNR7y5-hYARuCf1tn9y6tQ",37.7849477,-122.2379643
Brenda's,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"652 Polk St, San Francisco, CA 94102, United States",4.5,5364,"https://www.google.com/maps/search/?api=1&query=652%20Polk%20St,%20San%20Francisco,%20CA%2094102,%20United%20States&query_place_id=ChIJZ9s5SJeAhYARIX3Fxl6oj6c",37.7829132,-122.4188995
Donato,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"2635 Ashby Ave, Berkeley, CA 94705, United States",4.3,339,"https://www.google.com/maps/search/?api=1&query=2635%20Ashby%20Ave,%20Berkeley,%20CA%2094705,%20United%20States&query_place_id=ChIJ7duu8c19hYARVXrcEsI7p2g",37.8571053,-122.2534871
Sotto Mare,Restaurant,San Francisco Bay Area,,,Dea - Bay Area,"552 Green St, San Francisco, CA 94133, United States",4.6,3467,"https://www.google.com/maps/search/?api=1&query=552%20Green%20St,%20San%20Francisco,%20CA%2094133,%20United%20States&query_place_id=ChIJQfYyVvGAhYARJVwoboB1WKQ",37.7997075,-122.4083431
