name,type,location,creators_rec,notes,sheet_name,address,rating,user_ratings_total,google_maps_link,lat,lng
Makers and Finders,Coffee,"Las Vegas, Nevada",,,Dea - Vegas,"1120 S Main St Suite 110, Las Vegas, NV 89104, United States",4.4,2211,"https://www.google.com/maps/search/?api=1&query=1120%20S%20Main%20St%20Suite%20110,%20Las%20Vegas,%20NV%2089104,%20United%20States&query_place_id=ChIJyY-QApDDyIARAuN4Vd8aYhQ",36.1578972,-115.1539448
Makers and Finders,Coffee,"Las Vegas, Nevada",,,Dea - Vegas,"1120 S Main St Suite 110, Las Vegas, NV 89104, United States",4.4,2211,"https://www.google.com/maps/search/?api=1&query=1120%20S%20Main%20St%20Suite%20110,%20Las%20Vegas,%20NV%2089104,%20United%20States&query_place_id=ChIJyY-QApDDyIARAuN4Vd8aYhQ",36.1578972,-115.1539448
The Writer's Block,Coffee,"Las Vegas, Nevada",Yes,"Coffee shop and bookstore in one: get a coffee drink, browse the books or listen in to the cafe's literary events.",Dea - Vegas,"519 S 6th St #100, Las Vegas, NV 89101, United States",4.8,803,"https://www.google.com/maps/search/?api=1&query=519%20S%206th%20St%20#100,%20Las%20Vegas,%20NV%2089101,%20United%20States&query_place_id=ChIJRUZSQ3HDyIAR6UiWgOtvN10",36.1630147,-115.1431163
Esther's Kitchen,Restaurant,"Las Vegas, Nevada",,,Dea - Vegas,"1130 S Casino Center Blvd STE 110, Las Vegas, NV 89104, United States",4.7,2558,"https://www.google.com/maps/search/?api=1&query=1130%20S%20Casino%20Center%20Blvd%20STE%20110,%20Las%20Vegas,%20NV%2089104,%20United%20States&query_place_id=ChIJ44w1UIXDyIAR4Gj6uVkFoPY",36.1575051,-115.1528674
PublicUs,Restaurant,"Las Vegas, Nevada",,,Dea - Vegas,"1126 E Fremont St, Las Vegas, NV 89101, United States",4.6,2003,"https://www.google.com/maps/search/?api=1&query=1126%20E%20Fremont%20St,%20Las%20Vegas,%20NV%2089101,%20United%20States&query_place_id=ChIJM7jaCHHDyIARPHMuFhyy8hI",36.1657782,-115.132962
PublicUs,Restaurant,"Las Vegas, Nevada",,,Dea - Vegas,"1126 E Fremont St, Las Vegas, NV 89101, United States",4.6,2003,"https://www.google.com/maps/search/?api=1&query=1126%20E%20Fremont%20St,%20Las%20Vegas,%20NV%2089101,%20United%20States&query_place_id=ChIJM7jaCHHDyIARPHMuFhyy8hI",36.1657782,-115.132962
Bouchon Bakery,Desert Kiosk,"Las Vegas, Nevada",,,Dea - Vegas,"3355 S Las Vegas Blvd, Las Vegas, NV 89109, United States",4.3,567,"https://www.google.com/maps/search/?api=1&query=3355%20S%20Las%20Vegas%20Blvd,%20Las%20Vegas,%20NV%2089109,%20United%20States&query_place_id=ChIJiwV3rBXEyIARPpyXRo1lb_w",36.1215874,-115.1692281
Gordon Ramsay Fish and Chips,Restaurant,"Las Vegas, Nevada",,,Dea - Vegas,"3545 S Las Vegas Blvd, Las Vegas, NV 89109, United States",4.2,4993,"https://www.google.com/maps/search/?api=1&query=3545%20S%20Las%20Vegas%20Blvd,%20Las%20Vegas,%20NV%2089109,%20United%20States&query_place_id=ChIJ19Ov9DvEyIARAvrfwqpPpNg",36.1173845,-115.1717955
Makers and Finders,Restaurant,"Las Vegas, Nevada",,,Dea - Vegas,"1120 S Main St Suite 110, Las Vegas, NV 89104, United States",4.4,2211,"https://www.google.com/maps/search/?api=1&query=1120%20S%20Main%20St%20Suite%20110,%20Las%20Vegas,%20NV%2089104,%20United%20States&query_place_id=ChIJyY-QApDDyIARAuN4Vd8aYhQ",36.1578972,-115.1539448
Makers and Finders,Restaurant,"Las Vegas, Nevada",,,Dea - Vegas,"1120 S Main St Suite 110, Las Vegas, NV 89104, United States",4.4,2211,"https://www.google.com/maps/search/?api=1&query=1120%20S%20Main%20St%20Suite%20110,%20Las%20Vegas,%20NV%2089104,%20United%20States&query_place_id=ChIJyY-QApDDyIARAuN4Vd8aYhQ",36.1578972,-115.1539448
Gordon Ramsay Burgers,Restaurant,"Las Vegas, Nevada",Yes,"World famous burgers living up to the hype: skip the lines, get your order as takeout and sit outside people-watching on the Strip.",Dea - Vegas,"3667 S Las Vegas Blvd, Las Vegas, NV 89109, United States",4.3,13698,"https://www.google.com/maps/search/?api=1&query=3667%20S%20Las%20Vegas%20Blvd,%20Las%20Vegas,%20NV%2089109,%20United%20States&query_place_id=ChIJ7QDYIjHEyIARV4A_QyuQ21w",36.1099868,-115.1702691
Freed's Bakery,Restaurant,"Las Vegas, Nevada",,,Dea - Vegas,"9815 S Eastern Ave, Las Vegas, NV 89183, United States",4.5,1844,"https://www.google.com/maps/search/?api=1&query=9815%20S%20Eastern%20Ave,%20Las%20Vegas,%20NV%2089183,%20United%20States&query_place_id=ChIJrxKCyxfFyIARo17Ru9qDLDk",36.0109897,-115.1199876
Golden Roast,Coffee,"Knoxville, TN",Yes,"A delightful haven of superb coffee within the UT campus, both easily reachable and delectable.",Harsh - Knoxville,"2250 Sutherland Ave, Knoxville, TN 37919, United States",4.6,122,"https://www.google.com/maps/search/?api=1&query=2250%20Sutherland%20Ave,%20Knoxville,%20TN%2037919,%20United%20States&query_place_id=ChIJ1yVWBQs9XIgRmRUTlmq3taI",35.9557377,-83.9526952
"Frothy Monkey, Downtown",Coffee,"Knoxville, TN",Yes,"The perfect blend of excellent coffee, tasteful decor, and a welcoming atmosphere conducive to both work and dining.",Harsh - Knoxville,"419 S Gay St, Knoxville, TN 37902, United States",4.3,94,"https://www.google.com/maps/search/?api=1&query=419%20S%20Gay%20St,%20Knoxville,%20TN%2037902,%20United%20States&query_place_id=ChIJx5q5oJkXXIgRFK1BrzaLOQk",35.9657154,-83.9187589
French Market Creperie,Restaurant,"Knoxville, TN",,"While the coffee is passable, the diverse and enticing crepe selection steals the show.",Harsh - Knoxville,"412 Clinch Ave, Knoxville, TN 37902, United States",4.6,2138,"https://www.google.com/maps/search/?api=1&query=412%20Clinch%20Ave,%20Knoxville,%20TN%2037902,%20United%20States&query_place_id=ChIJAx4eR8QXXIgRz_5Gbp4VKww",35.96353800000001,-83.9190402
Coffee and Chocolate,Coffee,"Knoxville, TN",,"Known for heavenly chocolate cookies and the rare perk of being open until 10 pm, this cafe is a must-visit.",Harsh - Knoxville,"327 Union Ave, Knoxville, TN 37902, United States",4.7,451,"https://www.google.com/maps/search/?api=1&query=327%20Union%20Ave,%20Knoxville,%20TN%2037902,%20United%20States&query_place_id=ChIJ71tZUcQXXIgRlNXT-k3IwC0",35.9649171,-83.9189009
HoneyBee Coffee Co,Coffee,"Knoxville, TN",Yes,"An ideal indoor locale for productive work sessions, casual gatherings, and coffee rendezvous.",Harsh - Knoxville,"7600 Kingston Pike Space #1556B, Knoxville, TN 37919, United States",4.6,85,"https://www.google.com/maps/search/?api=1&query=7600%20Kingston%20Pike%20Space%20#1556B,%20Knoxville,%20TN%2037919,%20United%20States&query_place_id=ChIJJbVGE1olXIgRKYarZcYa_3Q",35.9244944,-84.03642239999999
Jacks Coffee and Plants,Coffee,"Knoxville, TN",,An urban retreat offering more than just coffee - also a charming spot to buy plants in the heart of the city.,Harsh - Knoxville,"854 N Central St, Knoxville, TN 37917, United States",4.5,109,"https://www.google.com/maps/search/?api=1&query=854%20N%20Central%20St,%20Knoxville,%20TN%2037917,%20United%20States&query_place_id=ChIJJ3N33h0XXIgR_6gdL9NAXA4",35.9778003,-83.9250891
Spice and Tea Exchange,Tea and Spices,"Knoxville, TN",Yes,"An olfactory paradise offering an immense range of teas and spices, all available for a pre-purchase sniff.",Harsh - Knoxville,"522 S Gay St, Knoxville, TN 37902, United States",5,21,"https://www.google.com/maps/search/?api=1&query=522%20S%20Gay%20St,%20Knoxville,%20TN%2037902,%20United%20States&query_place_id=ChIJlaN-8lkXXIgRZMipnDxx38A",35.9646709,-83.9178033
Wild Love Bakehouse,Bakery,"Knoxville, TN",,"A sanctuary for coffee and croissant lovers, with the added charm of indoor and outdoor seating.",Harsh - Knoxville,"1625 N Central St, Knoxville, TN 37917, United States",4.6,742,"https://www.google.com/maps/search/?api=1&query=1625%20N%20Central%20St,%20Knoxville,%20TN%2037917,%20United%20States&query_place_id=ChIJ-wFdM4c9XIgR2V4T7sYEwtE",35.9854173,-83.9344115
Mahalo Coffee Roasters,Coffee,"Knoxville, TN",Yes,Experience the magic of a couple-run café (with interesting backstory) delivering sublime lattes.,Harsh - Knoxville,"1317 E Emory Rd, Knoxville, TN 37938, United States",4.8,384,"https://www.google.com/maps/search/?api=1&query=1317%20E%20Emory%20Rd,%20Knoxville,%20TN%2037938,%20United%20States&query_place_id=ChIJ3YIDnv0_XIgRvrur_UR2eUQ",36.0615371,-83.9800181
Capycabara Coffee,Coffee,"Knoxville, TN",,"A welcoming spot featuring a friendly, well-versed staff, in a prime location with an adorable aesthetic.",Harsh - Knoxville,"2457 University Commons Way, Knoxville, TN 37919, United States",4.9,228,"https://www.google.com/maps/search/?api=1&query=2457%20University%20Commons%20Way,%20Knoxville,%20TN%2037919,%20United%20States&query_place_id=ChIJv8kQXQA9XIgRfVnhmo0tsG0",35.9509102,-83.9397853
Old City Java,Coffee,"Knoxville, TN",Yes,"Immerse yourself in an environment of great vibes, excellent coffee, and versatile seating options, both indoors and outdoors.",Harsh - Knoxville,"109 S Central St, Knoxville, TN 37902, United States",4.6,472,"https://www.google.com/maps/search/?api=1&query=109%20S%20Central%20St,%20Knoxville,%20TN%2037902,%20United%20States&query_place_id=ChIJ6_RpD88XXIgRV7VWHB_Tqo0",35.9700788,-83.9184277
Bida Saigon,Restaurant,"Knoxville, TN",Yes,"Delicious Pho, brimming with irresistible Vietnamese culinary delights.",Harsh - Knoxville,"8078 Kingston Pike, Knoxville, TN 37919, United States",4.5,985,"https://www.google.com/maps/search/?api=1&query=8078%20Kingston%20Pike,%20Knoxville,%20TN%2037919,%20United%20States&query_place_id=ChIJAee079wkXIgR6mAXxyID-pA",35.9229527,-84.0498243
Aroma Indian Kitchen,Restaurant,"Knoxville, TN",,"The destination for scrumptious masala dosa and biryani, though the mutton offerings fall short of expectations.",Harsh - Knoxville,"138 N Cedar Bluff Rd, Knoxville, TN 37923, United States",4.3,615,"https://www.google.com/maps/search/?api=1&query=138%20N%20Cedar%20Bluff%20Rd,%20Knoxville,%20TN%2037923,%20United%20States&query_place_id=ChIJyfiBGG4lXIgR3jTkFRS6X9Q",35.9130971,-84.08682809999999
The Tomato Head,Pizza,"Knoxville, TN",,"A trendy American pizzeria, dishing up a mix of vegetarian options, paired with a curated selection of beer and wine.",Harsh - Knoxville,"12 Market Square, Knoxville, TN 37902, United States",4.5,2258,"https://www.google.com/maps/search/?api=1&query=12%20Market%20Square,%20Knoxville,%20TN%2037902,%20United%20States&query_place_id=ChIJTbL0_sQXXIgRmrNflbYf2dw",35.9651887,-83.91928209999999
Kafiex Roasters,Coffee,"Vancouver, WA",Yes,Good coffee and a nice collection of books on the history of coffee and coffee culture.,Harsh - PNW,"720 Esther St, Vancouver, WA 98660, United States",4.3,281,"https://www.google.com/maps/search/?api=1&query=720%20Esther%20St,%20Vancouver,%20WA%2098660,%20United%20States&query_place_id=ChIJCWrs3hOwlVQROxma3SGMRu0",45.6271099,-122.6762403
Krays Coffee and Bakery,Coffee,"Vancouver, WA",,Nice coffee and their parfaits are amazing!,Harsh - PNW,"7809 NE Vancouver Plaza Dr #150, Vancouver, WA 98662, United States",4.6,658,"https://www.google.com/maps/search/?api=1&query=7809%20NE%20Vancouver%20Plaza%20Dr%20#150,%20Vancouver,%20WA%2098662,%20United%20States&query_place_id=ChIJoanuxfuvlVQRa4I9RvMXYsg",45.64839569999999,-122.5918642
Roseline Coffee,Coffee,"Portland, OR",,,Harsh - PNW,"1015 SE 11th Ave #100, Portland, OR 97214, United States",4.6,103,"https://www.google.com/maps/search/?api=1&query=1015%20SE%2011th%20Ave%20#100,%20Portland,%20OR%2097214,%20United%20States&query_place_id=ChIJF3SVEEKhlVQREbGnR20iOl8",45.5157163,-122.6548319
Compass Coffee,Coffee,"Vancouver, WA",Yes,Good place to work or hangout with friends. Also has an outdoor patio.,Harsh - PNW,,,,,,
Compass Coffee,Coffee,"Vancouver, WA",Yes,Good place to work or hangout with friends. Also has an outdoor patio.,Harsh - PNW,"817 Washington St, Vancouver, WA 98660, United States",4.6,843,"https://www.google.com/maps/search/?api=1&query=817%20Washington%20St,%20Vancouver,%20WA%2098660,%20United%20States&query_place_id=ChIJmxa1JrSolVQRAxKuFoFVVbo",45.6278365,-122.672555
Keeper Coffee,Coffee,"Portland, OR",Yes,"Cozy but bustling! If you're lucky enough, you will get coffee from Morgan, world barista champion.",Harsh - PNW,"4515 SE 41st Ave, Portland, OR 97202, United States",4.8,280,"https://www.google.com/maps/search/?api=1&query=4515%20SE%2041st%20Ave,%20Portland,%20OR%2097202,%20United%20States&query_place_id=ChIJwVBb6R0LlVQR52pe_0J9y4E",45.4899881,-122.619976
Foode Catering,Restaurant,"Vancouver, WA",,A delicious sandwich place with good coffee.,Harsh - PNW,"900 Washington St #120, Vancouver, WA 98660, United States",4.6,98,"https://www.google.com/maps/search/?api=1&query=900%20Washington%20St%20#120,%20Vancouver,%20WA%2098660,%20United%20States&query_place_id=ChIJ5f1j97SolVQRd4l-oD46vxE",45.6283793,-122.6731579
Relevant Coffee,Coffee,"Vancouver, WA",Yes,"Spacious cafe with interesting group of goers. Great place to read a book, finish a project, or just have some philosophical chat with friends relaxing on the couch.",Harsh - PNW,,,,,,
Relevant Coffee,Coffee,"Vancouver, WA",Yes,"Spacious cafe with interesting group of goers. Great place to read a book, finish a project, or just have some philosophical chat with friends relaxing on the couch.",Harsh - PNW,"1703 Main St suite a, Vancouver, WA 98660, United States",4.7,576,"https://www.google.com/maps/search/?api=1&query=1703%20Main%20St%20suite%20a,%20Vancouver,%20WA%2098660,%20United%20States&query_place_id=ChIJHdwhlsqolVQRBLx-7-LuOrY",45.6343802,-122.6711534
Case Study Coffee Roasters,Coffee,"Portland, OR",Yes,Fine inner decor. Good crowd of people; I was inspired to read.,Harsh - PNW,"802 SW 10th Ave, Portland, OR 97205, United States",4.4,1179,"https://www.google.com/maps/search/?api=1&query=802%20SW%2010th%20Ave,%20Portland,%20OR%2097205,%20United%20States&query_place_id=ChIJa92lywQKlVQRXlkX4rXNbnM",45.5190805,-122.6823427
Brewed Awakenings,Coffee,"Vancouver, WA",,"I love this cafe for its variety of seating. You will meet groups plaing board games, high schoolers doing homework, people with headphones, and people reading. Big menu; more than coffee.",Harsh - PNW,"6709 NE 63rd St #101, Vancouver, WA 98661, United States",4.6,404,"https://www.google.com/maps/search/?api=1&query=6709%20NE%2063rd%20St%20#101,%20Vancouver,%20WA%2098661,%20United%20States&query_place_id=ChIJmcwBkLevlVQR6Tk-faeWxpc",45.6676817,-122.6039947
Bollywood Theater,Restaurant,"Portland, OR",Yes,Good collection of Indian street food. Not spicy but full of flavours.,Harsh - PNW,"2039 NE Alberta St, Portland, OR 97211, United States",4.4,1315,"https://www.google.com/maps/search/?api=1&query=2039%20NE%20Alberta%20St,%20Portland,%20OR%2097211,%20United%20States&query_place_id=ChIJtz1JAiCnlVQRXr_iA5MFB08",45.5591718,-122.64403
